x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,target
36.89,3.6,37.81536057474928,1,5,60.29,,18.01,21.35,59.8,10.36,1
46.52,9.21,12.963176936778165,1,3,,33.2,29.62,22.41,66.3,9.88,0
44.19,9.54,,1,7,57.16,24.91,28.97,21.49,61.2,10.26,0
38.38,4.08,8.852236558575122,2,7,69.24,23.4,24.2,23.91,61.9,10.94,0
40.68,,,0,6,65.79,25.13,20.63,17.57,57.3,8.68,0
39.09,3.3,9.83527919142075,2,3,47.9,,17.45,19.71,61.6,13.55,0
47.07,0.83,10.542378167069588,2,2,,37.79,18.07,19.23,64.1,8.29,0
37.17,,16.46927537013204,1,5,67.92,23.04,29.16,21.55,61.8,14.91,0
45.4,6.61,18.74475260074786,1,5,59.38,38.6,26.45,20.07,,12.5,0
47.96,8.93,16.006445644141678,1,5,,,,19.8,50.3,8.65,0
45.4,9.65,28.32479245052887,1,5,62.02,22.54,16.69,19.63,62.7,8.02,0
36.16,7.7,13.59680550066798,1,3,49.72,12.26,31.19,18.25,60.6,8.31,0
51.41,7.59,8.72978851967169,1,3,,39.85,22.22,17.88,64.9,17.9,0
37.25,7.1,41.78198494875606,1,5,68.69,26.46,26.94,15.1,52.6,14.13,0
44.99,7.02,24.683915269934253,1,8,65.95,31.89,15.6,17.85,,9.99,0
36.73,7.67,13.90862473798234,1,4,66.37,13.07,30.19,17.1,64.1,8.05,0
29.79,9.74,14.750975874044563,1,1,52.78,24.22,16.87,22.65,63.8,14.04,1
43.58,3.74,13.412675667043313,1,5,70.42,30.39,18.21,25.3,52.8,11.46,0
44.01,0.83,,1,7,70.22,38.89,22.92,15.06,66.7,15.17,1
41.46,2.4,27.450557287497606,2,8,64.95,28.79,34.72,15.98,51.7,10.8,0
43.93,2.21,22.964668828419512,0,6,69.96,13.76,16.65,23.13,,11.77,0
37.46,3.64,12.660414650453689,1,8,62.49,32.89,19.19,15.81,65.3,7.75,1
36.84,8.1,27.697071806176712,1,5,56.8,26.71,27.45,23.14,61.7,9.37,0
40.82,0.6,9.855236188584087,1,3,53.51,34.97,25.19,22.31,56.3,11.02,0
55.36,4.5,14.828349191557916,0,7,,17.18,22.69,19.89,,8.22,0
47.7,8.13,,0,4,,39.3,3.37,24.33,50.1,18.26,0
38.36,2.64,9.702186235046947,1,6,69.81,29.53,23.55,19.28,65.0,12.16,0
45.91,0.63,27.427576227327997,2,3,65.53,34.53,16.56,18.13,63.8,7.01,0
38.65,2.42,22.16938053332951,1,1,51.99,27.7,29.38,17.09,59.4,6.08,0
38.8,0.85,,1,8,60.43,29.69,41.76,22.02,,8.04,1
48.01,8.08,,1,7,,,19.44,22.82,66.5,10.22,0
38.32,1.7,12.09823888332262,0,4,75.16,,22.19,18.1,52.5,9.99,0
30.27,1.95,20.50483842162284,1,5,69.41,36.78,30.11,24.29,64.4,10.51,1
35.65,8.15,15.061051835220027,0,4,65.96,40.6,34.3,19.15,,10.24,1
42.62,8.1,17.695095139829704,1,4,55.31,,24.16,17.6,63.3,14.84,0
42.9,5.89,14.991131264776364,0,5,55.43,26.66,15.24,19.35,52.6,11.97,0
50.69,9.15,24.517609516832778,0,5,,31.47,31.82,19.15,,13.04,0
36.99,0.6,,2,4,72.71,17.63,27.05,,56.1,9.52,0
47.12,9.65,9.63365633855185,1,6,,26.08,23.63,20.81,,9.0,0
44.98,5.71,17.97920864435569,2,1,60.58,32.11,33.77,13.06,52.4,11.12,0
40.96,3.03,16.90044099814581,0,4,66.93,,24.37,22.32,55.6,5.67,0
47.85,8.26,8.917382439277995,0,10,,29.8,24.95,20.92,54.7,8.39,0
45.44,6.59,11.150022162567655,2,3,78.13,43.91,19.87,17.57,56.6,9.35,0
35.96,9.87,22.86453636723812,0,2,65.11,35.34,42.2,20.48,58.1,11.33,1
49.5,1.07,15.461911590640284,1,8,,31.55,24.3,20.03,67.0,9.87,0
33.45,5.81,14.564259700337342,1,2,43.73,33.02,30.22,12.95,55.4,8.84,0
42.42,4.73,12.728544049842375,1,6,63.37,,30.1,15.02,58.9,9.49,0
42.02,6.52,18.975224376220837,1,12,55.67,24.9,20.71,17.59,61.5,8.15,0
44.97,2.42,25.956052939574533,0,4,62.76,36.8,33.88,17.53,53.6,6.23,0
36.92,,8.373522933294504,1,8,45.31,21.91,22.07,20.82,61.9,17.91,0
41.76,5.44,12.39972018740639,1,6,69.77,34.46,21.29,17.45,55.2,12.11,0
41.02,3.65,14.272229647106986,1,4,65.37,28.87,31.37,19.83,61.2,12.88,0
48.98,8.92,9.006704542796083,0,7,,26.49,20.82,15.4,60.2,12.37,0
36.43,4.59,13.408810685279484,1,7,59.9,23.08,12.46,18.48,66.2,8.84,0
42.51,4.19,23.602575269860026,0,3,45.35,,21.21,21.08,,6.75,0
40.17,6.33,17.418252712880207,2,3,56.65,39.18,15.69,21.79,60.5,11.62,0
32.91,5.27,9.925534911003508,2,7,68.21,36.17,34.31,15.96,59.5,8.18,1
60.73,,12.887555186927973,0,4,,34.33,10.18,23.11,57.3,8.99,0
41.5,7.89,19.938842594872064,2,3,66.83,32.36,26.41,19.77,61.8,9.93,0
31.59,4.97,14.476499057007384,1,7,71.38,,19.21,16.19,55.9,5.96,1
51.86,2.11,,1,4,,24.83,25.89,21.13,,9.83,0
34.51,6.04,13.087908889826668,1,4,65.81,24.22,11.2,22.57,59.4,7.1,0
44.6,7.49,35.86946183309883,1,4,63.02,41.2,,16.66,51.4,10.45,0
48.04,7.56,18.39995896612073,0,7,,22.13,,18.53,52.8,6.71,0
37.46,,,2,5,61.0,28.51,9.1,17.23,64.9,9.08,0
38.98,,,0,6,38.72,30.45,6.18,19.55,60.9,18.38,0
38.22,4.26,16.241107530819143,0,7,65.83,35.1,20.55,22.69,57.1,10.02,1
41.09,4.24,17.081575844431818,0,2,64.99,31.04,26.53,23.86,60.9,9.48,0
30.64,3.19,18.13620940272694,1,5,54.36,43.09,18.32,19.63,57.7,8.14,1
33.35,3.65,15.09921549129038,1,3,61.45,28.43,13.98,20.86,63.1,10.88,1
41.01,4.78,,1,2,70.77,46.9,26.67,17.35,60.7,13.66,1
49.27,5.42,,1,10,,42.06,13.02,15.03,51.2,9.6,0
46.42,2.65,10.133296723869558,2,6,,27.56,18.61,21.04,54.3,28.02,0
54.11,1.34,38.854100955916365,1,9,,40.69,30.25,23.97,56.4,10.38,0
46.86,3.02,30.544282164786367,1,10,,35.66,28.44,21.8,53.4,15.27,0
38.42,,,2,6,69.97,40.73,21.64,21.11,63.0,6.88,1
41.14,3.18,25.543347945920974,2,7,60.34,33.17,23.6,20.68,64.0,8.73,0
27.79,,,2,6,74.23,34.44,20.7,12.59,,6.91,1
35.27,6.01,39.328270025349525,0,4,60.4,,11.92,21.85,60.9,19.89,1
34.86,9.97,27.23123245107273,0,7,66.35,29.24,13.21,15.69,58.2,10.06,1
43.89,5.61,12.537567826679805,1,10,54.46,37.29,31.49,19.62,66.4,5.76,0
46.53,,,2,5,,29.73,27.48,15.92,59.7,10.77,0
38.08,6.42,10.712712791077664,0,6,49.34,38.17,14.39,26.1,57.2,10.4,0
37.88,7.27,28.488189419838278,1,0,53.02,46.04,18.12,11.7,53.8,11.1,1
31.17,6.16,23.48676167691716,2,8,60.46,38.88,20.12,16.18,62.2,14.29,1
41.11,,,1,9,61.16,32.51,22.38,23.03,50.2,7.22,0
43.74,6.05,11.969836957259432,0,8,80.66,,21.75,22.19,,7.58,0
45.12,3.55,10.082521455795906,1,5,62.13,29.35,19.97,26.63,52.9,10.11,0
36.52,7.77,,0,6,65.58,34.89,28.14,20.46,54.2,7.03,0
55.92,6.05,41.80869487849193,0,12,,16.5,21.0,17.91,51.0,20.47,0
50.37,3.09,,0,8,,30.71,14.94,22.31,53.7,10.0,0
41.33,2.46,14.792407845328846,0,3,39.65,29.08,9.75,17.99,61.6,5.68,0
38.31,,,1,8,53.52,15.43,22.42,15.11,61.8,6.8,0
39.75,,,1,7,67.71,30.17,30.23,19.87,,8.07,1
43.06,0.13,19.36391373141912,0,8,60.12,28.97,23.5,15.91,,10.77,1
41.87,1.66,8.399890775922808,1,0,81.0,,19.47,21.01,,7.67,0
45.38,0.6,8.462973199348632,1,4,51.03,30.39,31.22,19.2,57.6,11.44,0
47.38,2.78,22.911017313391564,0,6,,12.41,13.68,11.84,53.6,8.42,0
51.56,3.48,16.822840015998647,0,6,,44.07,26.92,15.82,52.0,15.06,0
50.03,,,0,4,,31.8,17.2,21.02,58.7,11.1,0
41.23,7.75,,0,5,71.77,45.0,25.99,22.58,51.8,7.84,1
44.72,,18.51188521281346,1,7,78.05,29.44,13.09,12.26,60.3,10.72,0
39.29,1.6,38.611031498851254,1,3,62.27,40.46,20.72,16.23,51.7,13.96,1
37.89,8.94,7.75497992524562,0,4,67.48,35.28,35.62,24.64,53.8,7.41,0
55.38,7.31,22.5628233254247,1,2,,18.91,32.85,19.78,61.3,8.73,0
38.78,4.98,21.923946171101896,0,6,72.09,33.83,21.97,24.49,61.2,10.5,1
55.94,6.44,16.177907988699012,1,6,,38.53,27.04,16.73,51.3,11.02,0
39.56,5.09,21.906049942176118,2,3,51.15,38.38,,16.75,53.2,12.14,0
43.77,1.68,12.543601552457421,0,4,66.98,24.36,23.27,15.67,53.6,9.44,0
49.63,6.41,11.36987867117606,2,6,,38.63,22.95,20.68,60.1,8.49,0
42.17,9.88,16.070735976844155,1,4,66.87,40.34,19.76,19.36,54.2,16.14,0
44.75,7.7,13.552526615694262,0,4,63.89,25.25,17.4,22.44,64.7,8.28,0
40.31,1.81,11.212594775816203,1,8,47.15,,19.64,20.49,52.6,16.71,0
38.67,1.2,28.7815480198064,1,1,45.7,30.41,,12.89,62.6,9.76,0
40.84,9.3,16.84782874417545,1,3,49.9,33.38,26.19,23.62,53.5,9.74,0
37.45,,,0,6,72.14,32.77,31.6,27.61,56.2,10.44,0
53.42,7.49,15.096784935223242,1,5,,,,18.27,,11.77,0
40.83,7.61,9.263256025606164,1,5,63.45,,,20.59,,7.49,1
54.06,,,1,8,,37.02,23.15,16.61,59.9,13.11,0
23.2,,10.878602025452613,1,3,66.71,40.51,18.6,17.57,50.5,11.35,1
42.13,1.92,19.289171895971904,1,1,79.75,22.86,25.75,16.49,59.3,13.89,0
45.93,1.55,14.359101691974614,1,6,74.25,34.49,25.89,17.87,,10.49,0
39.94,4.07,30.385869071520716,0,5,69.33,,21.16,20.95,,8.61,1
49.66,0.0,28.63337102836553,1,5,,26.01,,,54.1,9.94,0
46.48,8.46,9.229295672386645,2,3,,26.19,21.88,21.64,60.5,7.16,0
40.08,1.61,35.27253717579507,2,1,34.76,39.29,13.6,15.23,63.3,9.18,1
45.05,7.39,15.38949033011565,0,7,68.71,25.84,19.92,25.65,,12.5,0
61.68,5.83,23.21068244522776,1,3,,33.57,24.85,18.73,58.7,7.05,0
43.76,7.7,12.67112741664193,1,7,61.82,25.08,22.13,21.93,55.0,10.12,0
44.1,6.0,8.040928668082024,2,1,63.04,39.24,28.92,21.44,51.6,7.85,0
38.92,9.61,16.051902719559727,1,6,70.71,37.07,,21.96,,14.55,1
42.93,3.8,10.656984180385763,1,6,49.7,27.31,,,56.6,9.6,0
32.98,4.97,13.040495888403616,1,6,69.6,37.88,23.93,20.78,56.7,7.0,1
40.61,3.38,19.502313233523655,2,3,69.03,28.65,,,62.8,6.96,0
59.2,7.43,14.671750641627618,1,4,,39.18,23.88,17.3,55.1,13.14,0
49.47,3.0,21.99062698237886,0,6,,28.83,21.07,18.66,60.4,8.68,0
46.49,7.99,,1,6,,,31.56,,53.0,10.46,0
49.73,0.86,11.404525960983669,1,5,,33.54,,20.84,56.9,9.22,0
55.17,2.36,16.25447253127247,1,5,,34.92,,16.81,56.8,16.59,0
46.16,4.38,13.558853659965571,2,1,,24.94,,17.36,52.3,10.75,0
56.5,1.26,18.400296875658626,1,6,,,18.51,13.28,55.3,9.66,0
49.49,,,0,3,,,15.31,21.46,59.0,14.14,0
43.17,8.42,16.607639584590288,1,6,71.16,37.82,,16.24,64.9,8.44,0
54.04,3.72,26.709658665803687,1,3,,,24.88,20.15,50.2,11.5,0
25.49,2.19,31.909666040311066,2,6,69.66,42.29,18.26,16.64,64.1,10.29,1
38.0,8.46,8.81812984795455,1,4,68.7,36.71,27.81,21.97,50.8,11.51,0
43.86,5.75,9.597863846975889,0,3,69.71,,28.22,20.44,51.5,8.54,0
35.62,6.34,10.292781707906027,2,3,57.21,33.56,25.18,18.7,57.1,7.86,0
40.91,,,2,9,71.77,29.28,7.67,20.36,53.6,6.52,0
37.53,7.14,11.246348870465251,1,5,59.7,32.51,28.97,16.9,50.7,6.12,0
37.42,2.65,18.9477068030752,1,7,62.81,28.82,24.63,16.41,63.8,13.7,1
60.98,0.1,23.329182512022513,1,3,,36.13,25.15,16.23,62.3,7.75,0
46.39,5.49,8.213455528139168,1,5,,31.81,21.6,17.5,57.1,10.81,0
41.62,7.08,38.95436822250785,0,4,66.38,30.71,30.08,12.42,51.1,5.46,0
51.21,8.06,18.33942958270298,1,4,,28.69,,,57.9,10.7,0
40.34,1.91,9.151713651858978,1,5,65.62,42.53,25.41,21.18,50.6,10.08,0
48.2,6.34,23.626429957366952,2,4,,28.84,17.35,23.43,62.8,9.44,0
44.46,9.39,12.68172370668166,0,6,70.85,23.42,18.29,19.41,52.9,7.3,0
53.39,2.58,10.11139933918743,1,8,,37.95,,21.39,,8.09,0
32.06,2.92,12.203893326449315,1,4,68.45,29.62,21.84,20.56,62.0,8.29,1
47.36,4.26,18.73723068120737,1,5,,36.09,21.66,21.25,63.4,16.12,0
42.86,5.71,20.07957324714632,2,8,58.86,28.54,11.75,18.25,64.3,7.15,1
33.9,9.9,14.535784894591803,1,4,63.69,24.94,31.26,25.68,50.8,10.67,0
49.46,5.88,,1,5,,30.82,17.79,13.96,66.8,7.58,0
35.89,8.88,,1,7,65.43,19.44,32.84,19.4,59.5,9.9,0
53.33,6.56,,2,5,,36.68,17.5,23.1,66.1,8.65,0
45.59,4.73,10.345485024310983,2,3,69.19,26.57,32.6,11.1,56.0,19.87,0
46.87,3.06,20.56233063142286,1,1,,36.24,26.56,20.31,55.3,9.2,0
42.56,,,2,4,65.05,24.24,29.57,17.87,51.6,12.23,0
48.33,7.77,,1,5,,,26.96,20.88,57.7,10.52,0
28.94,1.78,20.4008110071438,2,3,69.7,21.37,23.01,17.78,61.7,19.68,1
42.52,1.38,7.766184504811355,1,6,60.09,32.25,21.24,19.99,52.1,9.61,0
37.6,2.13,7.820765578266265,0,8,67.89,35.9,20.23,18.02,54.6,13.13,0
43.98,6.69,9.18178726287831,1,8,69.25,30.42,31.98,16.36,50.7,9.22,0
41.67,3.71,12.938784446231097,1,5,46.78,24.18,25.49,13.8,61.6,22.39,0
46.32,2.07,12.450282264415378,0,4,,27.97,22.06,17.67,60.1,12.79,0
36.14,3.31,,0,7,66.44,30.36,28.0,14.5,59.1,10.88,1
54.87,0.82,22.3741990170759,1,4,,28.49,15.24,15.72,50.1,8.92,0
58.21,4.37,8.687661089684424,0,3,,31.46,15.93,16.26,60.2,6.1,0
40.54,8.11,9.416415816712789,2,2,75.56,30.45,34.45,19.48,56.6,9.29,1
41.9,4.46,,1,1,44.94,39.75,22.16,18.71,58.0,9.38,0
44.01,4.47,15.201940830658836,1,7,57.08,25.49,11.36,18.92,55.9,7.85,0
50.85,0.28,8.166579601713416,1,3,,24.99,22.45,19.35,65.8,5.71,0
55.28,2.79,,1,4,,,,,59.7,15.51,0
33.56,0.75,18.41386027729621,1,4,68.5,32.43,,17.69,,12.91,1
37.69,0.48,13.113345752717242,0,5,72.5,41.68,19.61,18.79,59.9,7.69,1
34.56,8.64,10.408852880446167,1,7,71.95,38.38,17.52,18.42,51.4,12.18,1
34.21,7.14,,2,4,66.24,27.16,22.79,16.43,63.5,7.09,1
30.52,8.3,17.20127013689914,1,5,72.36,,28.23,18.73,64.8,7.49,1
44.54,1.33,11.791236312152769,2,3,45.14,,21.99,15.14,,11.94,0
33.89,3.65,17.503938299171242,1,5,76.6,26.95,21.52,18.99,52.6,9.77,1
52.52,9.13,8.878499532907718,1,3,,31.02,28.19,13.2,,7.34,0
48.36,4.33,9.401003724429737,0,6,,,,20.64,60.3,7.34,0
34.79,9.26,24.002602347055205,0,5,68.03,23.2,24.98,17.04,59.5,9.73,0
34.79,9.61,21.2608397978689,1,2,59.06,31.61,34.42,13.44,64.6,8.98,1
37.71,0.07,,2,2,74.45,35.63,22.78,24.12,61.8,5.37,1
51.8,,,0,8,,38.6,16.68,20.75,52.7,12.51,0
36.05,5.83,14.132838641313503,2,2,30.98,28.59,18.48,22.08,62.6,8.83,0
31.55,3.49,32.35352209121092,1,5,57.36,29.97,22.14,,60.0,6.65,1
41.65,,,0,4,67.1,47.51,,20.42,52.0,8.75,1
44.61,3.56,7.49344954233953,1,1,67.73,27.56,27.81,24.64,,12.01,0
37.4,2.31,11.466826470178535,0,8,68.36,29.49,29.9,17.35,56.9,10.94,0
53.34,0.26,13.656582739883214,0,6,,31.22,24.68,23.61,63.3,6.21,0
43.68,7.31,9.898385686110766,1,8,63.22,41.06,22.34,18.65,65.4,11.7,0
45.17,9.99,11.90514033952458,1,4,43.97,37.16,20.59,17.02,50.9,8.02,0
36.01,0.38,13.384540831761125,1,8,63.98,30.7,30.14,20.0,,10.4,1
41.72,8.59,19.01291285980868,1,4,62.84,33.33,23.93,15.65,62.1,11.92,0
40.9,5.44,10.352351944611165,1,6,60.95,26.23,30.54,19.52,58.0,13.68,0
26.09,0.2,14.534116903011858,2,2,45.92,28.06,23.74,16.5,56.4,12.39,1
44.01,0.69,11.901986265785776,0,4,66.36,34.2,,20.39,52.9,6.46,0
29.44,5.25,20.75811013743312,1,2,68.66,38.35,21.08,19.99,50.0,6.99,1
41.8,1.05,13.597239670414833,1,2,59.91,23.58,25.28,17.6,58.1,14.26,0
31.68,2.96,21.236609298536678,1,3,67.79,26.58,26.41,26.76,51.2,11.6,1
56.14,2.75,19.793256166400063,1,3,,30.64,23.13,17.91,58.8,15.83,0
44.28,9.71,17.83389832914979,0,7,58.16,28.04,24.39,21.25,53.9,8.87,0
48.03,4.7,12.454555694249184,1,3,,39.85,24.18,18.76,58.6,9.8,0
48.43,2.85,24.606828787646897,1,1,,37.62,27.45,15.15,53.1,7.71,0
32.73,9.38,31.004377623837463,2,4,73.34,38.0,28.62,17.59,58.6,9.02,1
26.03,9.67,8.216268510478447,2,3,69.04,48.42,10.17,22.68,62.7,10.51,1
