street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1714,Residential,2008-05-21,174313,38.474853,-121.406326
7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,1185,Residential,2008-05-21,178480,38.465184,-121.434925
1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Residential,2008-05-21,178760,38.287789000000004,-121.294715
4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Multi-Family,2008-05-21,179580,38.665724,-121.358576
9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Residential,2008-05-21,181000,38.547011,-121.36621699999999
5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,1152,Residential,2008-05-21,181872,38.662105,-121.31394499999999
5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Residential,2008-05-21,182587,38.4473,-121.43521799999999
4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Residential,2008-05-21,182716,38.714609,-121.34788700000001
306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Residential,2008-05-21,182750,38.260443,-121.29786399999999
9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,2008-05-21,183200,38.664186,-121.21751100000002
404 6TH ST,GALT,95632,CA,3,1,1479,Residential,2008-05-21,188741,38.251808000000004,-121.302493
8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Residential,2008-05-21,189000,38.459041,-121.424644
2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Residential,2008-05-21,192067,38.560767,-121.377471
7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,2008-05-21,194000,38.422810999999996,-121.423285
7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Residential,2008-05-21,194818,38.711279,-121.393449
7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Multi-Family,2008-05-21,195000,38.480090000000004,-121.415102
6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,1266,Residential,2008-05-21,198000,38.44004,-121.421012
8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Residential,2008-05-21,199500,38.44076,-121.385792
120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,2008-05-21,200000,38.687742,-121.17103999999999
5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,936,Residential,2008-05-21,200000,38.664468,-121.32683
17 SERASPI CT,SACRAMENTO,95834,CA,0,0,0,Residential,2008-05-21,206000,38.631481,-121.50188
170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,2008-05-21,208000,38.653439,-121.535169
8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,2008-05-21,212864,38.454349,-121.43923899999999
9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,2008-05-21,221000,38.427818,-121.424026
391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,1341,Residential,2008-05-21,221000,38.67307,-121.506373
8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,2008-05-21,223058,38.435435999999996,-121.39453600000002
9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,2008-05-21,227887,38.400676000000004,-121.38101
5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Residential,2008-05-21,231477,38.491399,-121.443547
10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Residential,2008-05-21,234697,38.593699,-121.31088999999999
6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,2008-05-21,235000,38.702855,-121.31308
2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Residential,2008-05-21,236000,38.618457,-121.50943899999999
9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,2008-05-21,236685,38.463355,-121.35893600000001
4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,2008-05-21,237800,38.547990999999996,-121.280483
1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,1193,Residential,2008-05-21,240122,38.693818,-121.441153
4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Residential,2008-05-21,242638,38.400974,-121.448424
7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Residential,2008-05-21,244000,38.478198,-121.41291100000001
2866 KARITSA AVE,SACRAMENTO,95833,CA,0,0,0,Residential,2008-05-21,244500,38.626671,-121.52597
6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Residential,2008-05-21,244960,38.502519,-121.42076899999999
8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Residential,2008-05-21,245918,38.443832,-121.38208700000001
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,2008-05-21,250000,38.665395000000004,-121.29328799999999
18 OLLIE CT,ELK GROVE,95758,CA,4,2,1591,Residential,2008-05-21,250000,38.444909,-121.412345
4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Condo,2008-05-21,250134,38.637028,-121.31296299999998
4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,2008-05-21,254200,38.38692,-121.447349
4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Residential,2008-05-21,254200,38.653917,-121.34218
5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,2008-05-21,258000,38.42568,-121.43806200000002
230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Residential,2008-05-21,260000,38.656251,-121.547572
4900 71ST ST,SACRAMENTO,95820,CA,3,1,1018,Residential,2008-05-21,260014,38.53151,-121.421089
12209 CONSERVANCY WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,2008-05-21,263500,38.553867,-121.219141
4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,CA,3,2,1672,Condo,2008-05-21,265000,38.648879,-121.544023
5615 LUPIN LN,POLLOCK PINES,95726,CA,3,2,1380,Residential,2008-05-21,265000,38.708315,-120.603872
5625 JAMES WAY,SACRAMENTO,95822,CA,3,1,975,Residential,2008-05-21,271742,38.523947,-121.484946
7842 LAHONTAN CT,SACRAMENTO,95829,CA,4,3,2372,Residential,2008-05-21,273750,38.472976,-121.318633
6850 21ST ST,SACRAMENTO,95822,CA,3,2,1446,Residential,2008-05-21,275086,38.502194,-121.49079499999999
2900 BLAIR RD,POLLOCK PINES,95726,CA,2,2,1284,Residential,2008-05-21,280908,38.75485,-120.60476000000001
2064 EXPEDITION WAY,SACRAMENTO,95832,CA,4,3,3009,Residential,2008-05-21,280987,38.474099,-121.490711
2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,3612,Multi-Family,2008-05-21,282400,38.559505,-121.36483899999999
9507 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,2008-05-21,285000,38.410992,-121.47904299999999
8882 AUTUMN GOLD CT,ELK GROVE,95624,CA,4,2,1993,Residential,2008-05-21,287417,38.4439,-121.37255
5322 WHITE LOTUS WAY,ELK GROVE,95757,CA,3,2,1857,Residential,2008-05-21,291000,38.391538,-121.442596
1838 CASTRO WAY,SACRAMENTO,95818,CA,2,1,1126,Residential,2008-05-21,292024,38.556098,-121.49078700000001
10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,2213,Multi-Family,2008-05-21,297000,38.5703,-121.315735
7731 MASTERS ST,ELK GROVE,95758,CA,5,3,2494,Residential,2008-05-21,297000,38.442031,-121.410873
4925 PERCHERON DR,ELK GROVE,95757,CA,3,2,1843,Residential,2008-05-21,298000,38.401540000000004,-121.447649
2010 PROMONTORY POINT LN,GOLD RIVER,95670,CA,2,2,1520,Residential,2008-05-21,299000,38.62869,-121.261669
4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,2800,Residential,2008-05-21,304037,38.658182000000004,-121.549521
8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,2309,Residential,2008-05-21,311000,38.442352,-121.389675
9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,2367,Residential,2008-05-21,315537,38.555993,-121.340352
4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,3516,Residential,2008-05-21,320000,38.545128000000005,-121.22492199999999
5337 DUSTY ROSE WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,2008-05-21,320000,38.528575,-121.2286
8929 SUTTERS GOLD DR,SACRAMENTO,95826,CA,4,3,1914,Residential,2008-05-21,328360,38.550847999999995,-121.370224
8025 PEERLESS AVE,ORANGEVALE,95662,CA,2,1,1690,Residential,2008-05-21,334150,38.71147,-121.216214
4620 WELERA WAY,ELK GROVE,95757,CA,3,3,2725,Residential,2008-05-21,335750,38.398609,-121.450148
9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,2354,Residential,2008-05-21,335750,38.403492,-121.430224
2115 SMOKESTACK WAY,SACRAMENTO,95833,CA,0,0,0,Residential,2008-05-21,339500,38.602416,-121.542965
100 REBECCA WAY,FOLSOM,95630,CA,3,2,2185,Residential,2008-05-21,344250,38.68479,-121.149199
9488 OAK VILLAGE WAY,ELK GROVE,95758,CA,4,2,1801,Residential,2008-05-21,346210,38.41333,-121.404999
8495 DARTFORD DR,SACRAMENTO,95823,CA,3,3,1961,Residential,2008-05-21,347029,38.448507,-121.421346
6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,3134,Residential,2008-05-21,347650,38.380635,-121.42553799999999
4143 SEA MEADOW WAY,SACRAMENTO,95823,CA,4,3,1915,Residential,2008-05-21,351300,38.465340000000005,-121.45751899999999
3020 RICHARDSON CIR,EL DORADO HILLS,95762,CA,3,2,0,Residential,2008-05-21,352000,38.691299,-121.08175200000001
8082 LINDA ISLE LN,SACRAMENTO,95831,CA,0,0,0,Residential,2008-05-21,370000,38.4772,-121.5215
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,CA,4,3,2734,Residential,2008-05-21,370500,38.4874,-121.075129
11215 SHARRMONT CT,WILTON,95693,CA,3,2,2110,Residential,2008-05-21,372000,38.35062,-121.228349
7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,3164,Residential,2008-05-21,375000,38.4019,-121.42038799999999
5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,3599,Residential,2008-05-21,381300,38.677126,-121.500519
1050 FOXHALL WAY,SACRAMENTO,95831,CA,4,2,2054,Residential,2008-05-21,381942,38.509819,-121.51966100000001
7837 ABBINGTON WAY,ANTELOPE,95843,CA,4,2,1830,Residential,2008-05-21,387731,38.709872999999995,-121.339472
1300 F ST,SACRAMENTO,95814,CA,3,3,1627,Residential,2008-05-21,391000,38.58355,-121.48728899999999
6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,2008-05-21,394470,38.408351,-121.423925
1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,2846,Residential,2008-05-21,395000,38.945357,-120.908822
9361 WADDELL LN,ELK GROVE,95624,CA,4,3,2359,Residential,2008-05-21,400186,38.450829,-121.349928
10 SEA FOAM CT,SACRAMENTO,95831,CA,3,3,2052,Residential,2008-05-21,415000,38.487885,-121.545947
6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,3433,Residential,2008-05-21,425000,38.385638,-121.42261599999999
4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,3615,Residential,2008-05-21,430000,38.550616999999995,-121.23526000000001
9278 DAIRY CT,ELK GROVE,95624,CA,0,0,0,Residential,2008-05-21,445000,38.420338,-121.363757
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,95630,CA,5,3,2687,Residential,2008-05-21,460000,38.646273,-121.175322
6507 RIO DE ONAR WAY,ELK GROVE,95757,CA,4,3,2724,Residential,2008-05-21,461000,38.382529999999996,-121.42800700000001
7004 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,2008-05-21,489332,38.406421,-121.422081
6503 RIO DE ONAR WAY,ELK GROVE,95757,CA,5,4,3508,Residential,2008-05-21,510000,38.382529999999996,-121.42803799999999
2217 APPALOOSA CT,FOLSOM,95630,CA,4,2,2462,Residential,2008-05-21,539000,38.655167,-121.09017800000001
868 HILDEBRAND CIR,FOLSOM,95630,CA,0,0,0,Residential,2008-05-21,585000,38.670947,-121.097727
6030 PALERMO WAY,EL DORADO HILLS,95762,CA,4,3,0,Residential,2008-05-21,600000,38.672761,-121.05037800000001
4070 REDONDO DR,EL DORADO HILLS,95762,CA,4,3,0,Residential,2008-05-21,606238,38.666807,-121.06483
4004 CRESTA WAY,SACRAMENTO,95864,CA,3,3,2325,Residential,2008-05-21,660000,38.591618,-121.370626
315 JUMEL CT,EL DORADO HILLS,95762,CA,6,5,0,Residential,2008-05-21,830000,38.669931,-121.05958000000001
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,2008-05-20,69000,38.680923,-121.31394499999999
3432 Y ST,SACRAMENTO,95817,CA,4,2,1099,Residential,2008-05-20,70000,38.554967,-121.468046
9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,CA,2,1,840,Condo,2008-05-20,71000,38.40573,-121.369832
3132 CLAY ST,SACRAMENTO,95815,CA,2,1,800,Residential,2008-05-20,78000,38.624678,-121.439203
5221 38TH AVE,SACRAMENTO,95824,CA,2,1,746,Residential,2008-05-20,78400,38.518044,-121.443555
6112 HERMOSA ST,SACRAMENTO,95822,CA,3,1,1067,Residential,2008-05-20,80000,38.515125,-121.48041599999999
483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1316,Residential,2008-05-20,89000,38.623571000000005,-121.454884
671 SONOMA AVE,SACRAMENTO,95815,CA,3,1,1337,Residential,2008-05-20,90000,38.622953,-121.450142
5980 79TH ST,SACRAMENTO,95824,CA,2,1,868,Residential,2008-05-20,90000,38.518373,-121.41177900000001
7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,924,Residential,2008-05-20,92000,38.51055,-121.414768
5028 14TH AVE,SACRAMENTO,95820,CA,2,1,610,Residential,2008-05-20,93675,38.53942,-121.446894
14788 NATCHEZ CT,RANCHO MURIETA,95683,CA,0,0,0,Residential,2008-05-20,97750,38.492287,-121.10003200000001
1069 ACACIA AVE,SACRAMENTO,95815,CA,2,1,1220,Residential,2008-05-20,98000,38.621998,-121.44223799999999
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,CA,1,1,722,Condo,2008-05-20,98000,38.423251,-121.44448899999999
3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,1643,Residential,2008-05-20,99000,38.588671999999995,-121.373916
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,CA,1,1,722,Condo,2008-05-20,100000,38.423251,-121.44448899999999
1121 CREEKSIDE WAY,GALT,95632,CA,3,1,1080,Residential,2008-05-20,106716,38.241514,-121.31219899999999
5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,2008-05-20,111000,38.527120000000004,-121.435348
3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,2008-05-20,111000,38.67895,-121.379406
4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,967,Residential,2008-05-20,114800,38.682279,-121.35281699999999
10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,1098,Residential,2008-05-20,120108,38.587156,-121.295778
6318 39TH AVE,SACRAMENTO,95824,CA,3,1,1050,Residential,2008-05-20,123225,38.518941999999996,-121.430158
211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,1110,Residential,2008-05-20,123750,38.636565000000004,-121.46038300000001
3800 LYNHURST WAY,NORTH HIGHLANDS,95660,CA,3,1,888,Residential,2008-05-20,125000,38.650445,-121.37486100000001
6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,1120,Residential,2008-05-20,125000,38.514665,-121.480411
2505 RHINE WAY,ELVERTA,95626,CA,3,2,1080,Residential,2008-05-20,126000,38.717976,-121.407684
3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,957,Residential,2008-05-20,129000,38.666540000000005,-121.378298
604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,952,Residential,2008-05-20,134000,38.637678,-121.452476
648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,1211,Residential,2008-05-20,135000,38.658478,-121.45040900000001
14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,1264,Residential,2008-05-20,135500,38.61779,-121.436765
3174 NORTHVIEW DR,SACRAMENTO,95833,CA,3,1,1080,Residential,2008-05-20,140000,38.623816999999995,-121.477827
840 TRANQUIL LN,GALT,95632,CA,3,2,1266,Residential,2008-05-20,140000,38.270617,-121.299205
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,994,Condo,2008-05-20,142500,38.662785,-121.27627199999999
1035 MILLET WAY,SACRAMENTO,95834,CA,3,2,1202,Residential,2008-05-20,143500,38.631056,-121.48508000000001
5201 LAGUNA OAKS DR Unit 126,ELK GROVE,95758,CA,0,0,0,Condo,2008-05-20,145000,38.423251,-121.44448899999999
3328 22ND AVE,SACRAMENTO,95820,CA,2,1,722,Residential,2008-05-20,145000,38.532727,-121.47078300000001
8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,1448,Residential,2008-05-20,145000,38.488623,-121.410582
7812 HARTWICK WAY,SACRAMENTO,95828,CA,3,2,1188,Residential,2008-05-20,145000,38.488611,-121.41280800000001
4207 PAINTER WAY,NORTH HIGHLANDS,95660,CA,4,2,1183,Residential,2008-05-20,146000,38.692915,-121.367497
7458 WINKLEY WAY,SACRAMENTO,95822,CA,3,1,1320,Residential,2008-05-20,148500,38.487444,-121.49136599999999
8354 SUNRISE WOODS WAY,SACRAMENTO,95828,CA,3,2,1117,Residential,2008-05-20,149000,38.473288000000004,-121.3963
8116 COTTONMILL CIR,SACRAMENTO,95828,CA,3,2,1364,Residential,2008-05-20,150000,38.482876,-121.40591200000001
4660 CEDARWOOD WAY,SACRAMENTO,95823,CA,4,2,1310,Residential,2008-05-20,150000,38.484834,-121.449316
9254 HARROGATE WAY,ELK GROVE,95758,CA,2,2,1006,Residential,2008-05-20,152000,38.420138,-121.41217900000001
6716 TAREYTON WAY,CITRUS HEIGHTS,95621,CA,3,2,1104,Residential,2008-05-20,156000,38.693723999999996,-121.30716899999999
2028 ROBERT WAY,SACRAMENTO,95825,CA,2,1,810,Residential,2008-05-20,156000,38.609982,-121.41926299999999
9346 AIZENBERG CIR,ELK GROVE,95624,CA,2,2,1123,Residential,2008-05-20,156000,38.41875,-121.370019
4524 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,1,904,Residential,2008-05-20,157788,38.67273,-121.359645
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,CA,3,2,1156,Residential,2008-05-20,161653,38.720653000000006,-121.302241
4631 11TH AVE,SACRAMENTO,95820,CA,2,1,1321,Residential,2008-05-20,161829,38.541965000000005,-121.452132
3228 BAGGAN CT,ANTELOPE,95843,CA,3,2,1392,Residential,2008-05-20,165000,38.715346000000004,-121.38816299999999
8515 DARTFORD DR,SACRAMENTO,95823,CA,3,2,1439,Residential,2008-05-20,168000,38.448288,-121.42071899999999
4500 TIPPWOOD WAY,SACRAMENTO,95842,CA,3,2,1159,Residential,2008-05-20,169000,38.69951,-121.35998899999998
2460 EL ROCCO WAY,RANCHO CORDOVA,95670,CA,3,2,1671,Residential,2008-05-20,175000,38.591477000000005,-121.31533999999999
8244 SUNBIRD WAY,SACRAMENTO,95823,CA,3,2,1740,Residential,2008-05-20,176250,38.457654,-121.431381
5841 VALLEY VALE WAY,SACRAMENTO,95823,CA,3,2,1265,Residential,2008-05-20,179000,38.461283,-121.434322
7863 CRESTLEIGH CT,ANTELOPE,95843,CA,2,2,1007,Residential,2008-05-20,180000,38.710889,-121.358876
7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,1716,Residential,2008-05-20,180400,38.417649,-121.420294
8284 RED FOX WAY,ELK GROVE,95758,CA,4,2,1685,Residential,2008-05-20,182000,38.417182000000004,-121.397231
2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,1829,Residential,2008-05-20,184500,38.592383,-121.318669
8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,1555,Residential,2008-05-20,185000,38.435471,-121.44117299999999
5925 MALEVILLE AVE,CARMICHAEL,95608,CA,4,2,1120,Residential,2008-05-20,189000,38.666564,-121.325717
7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,CA,3,2,1137,Residential,2008-05-20,194000,38.718693,-121.303619
3949 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1174,Residential,2008-05-20,195000,38.543696999999995,-121.36668300000001
4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,1393,Residential,2008-05-20,200000,38.704407,-121.36113
2778 KAWEAH CT,CAMERON PARK,95682,CA,3,1,0,Residential,2008-05-20,201000,38.694052,-120.995589
1636 ALLENWOOD CIR,LINCOLN,95648,CA,4,2,0,Residential,2008-05-20,202500,38.879191999999996,-121.309477
